week_start,BrandMedia_Addressable/Linear_Spends,BrandMedia_ConnectedTV_Spends,BrandMedia_Default_Spends,BrandMedia_Display_Spends,BrandMedia_LiveStreamVideo_Spends,BrandMedia_OOH_Spends,BrandMedia_Radio_Spends,BrandMedia_Social_Spends,BrandMedia_TotalDigitalVideo_Spends,NonPaid_Apps_Leads,NonPaid_Apps_Visits,NonPaid_Direct_Leads,NonPaid_Direct_Visits,NonPaid_Email_Leads,NonPaid_Email_Visits,NonPaid_OtherProperties_Leads,NonPaid_OtherProperties_Visits,NonPaid_SEO_Leads,NonPaid_SEO_Visits,PerformanceMedia_App_Spends,PerformanceMedia_Display_Leads,PerformanceMedia_Display_Spends,PerformanceMedia_Display_Visits,PerformanceMedia_PaidSearch_Leads,PerformanceMedia_PaidSearch_Spends,PerformanceMedia_PaidSearch_Visits,PerformanceMedia_Partner_Leads,PerformanceMedia_Partner_Visits,PerformanceMedia_Partners_Spends,Total_DeseasonalizedMarketplace_Revenue,Total_Marketplace_SeasonalIndex,Total_Total_Visits
2008/4/19,0,0,0,0,0,0,0,0,0,60739.7,2109197.533,79759.4,2646638.867,5505.966667,108367.9333,74588.03333,1326594.967,25868.96667,2176783.233,210907.004,14918.63333,748788.3947,970164.0667,21584.96667,602605.3787,585063.9667,12776.86667,64593.2,324861.4833,8045951.364,0.900538162,8660808.8
2015/4/19,0,0,0,0,0,0,0,0,0,60739.7,2109197.533,79759.4,2646638.867,5505.966667,108367.9333,74588.03333,1326594.967,25868.96667,2176783.233,210907.004,14918.63333,748788.3947,970164.0667,21584.96667,602605.3787,585063.9667,12776.86667,64593.2,324861.4833,8045951.364,0.900538162,8660808.8
2022/4/19,395581.3953,0,0,0,0,0,0,0,0,60739.7,2109197.533,79759.4,2646638.867,5505.966667,108367.9333,74588.03333,1326594.967,25868.96667,2176783.233,210907.004,14918.63333,748788.3947,970164.0667,21584.96667,602605.3787,585063.9667,12776.86667,64593.2,324861.4833,8045951.364,0.900538162,8660808.8
2029/4/19,713763.2135,0,0,0,0,0,0,0,0,60581.78065,2105413.834,85505.17419,2599134.953,5213.294624,121546.6215,60192.96344,1321119.714,26583.55269,2186875.647,201714.0279,15620.69247,669611.4946,1022930.54,23197.13333,742564.1669,615168.2301,16684.4043,79349.07097,293937.0441,7713091.85,0.907550215,8730418.897
2006/5/19,713763.2135,0,0,0,0,0,0,0,0,60518.6129,2103900.355,87803.48387,2580133.387,5096.225806,126818.0968,54434.93548,1318929.613,26869.3871,2190912.613,198036.8374,15901.51613,637940.7345,1044037.129,23842,798547.6823,627209.9355,18247.41935,85251.41935,281567.2684,7604814.389,0.907550215,8758262.935
2013/5/19,713763.2135,0,0,0,0,0,0,0,0,60518.6129,2103900.355,87803.48387,2580133.387,5096.225806,126818.0968,54434.93548,1318929.613,26869.3871,2190912.613,198036.8374,15901.51613,637940.7345,1044037.129,23842,798547.6823,627209.9355,18247.41935,85251.41935,281567.2684,7604814.389,0.907550215,8758262.935
2020/5/19,441035.9408,0,0,0,0,0,0,0,0,60518.6129,2103900.355,87803.48387,2580133.387,5096.225806,126818.0968,54434.93548,1318929.613,26869.3871,2190912.613,198036.8374,15901.51613,637940.7345,1044037.129,23842,798547.6823,627209.9355,18247.41935,85251.41935,281567.2684,7604814.389,0.907550215,8758262.935
2027/5/19,395581.3953,0,0,0,0,0,0,0,0,60531.31398,2100063.101,85542.84086,2571053.686,5209.76129,129634.2882,54362.29677,1299991.381,26186.21935,2173242.581,201536.8839,17620.55914,639222.7946,1125784.673,22905.66667,779186.5069,586448.4968,19671.93763,91443.93763,311503.6028,7164081.931,0.9731671,8777670.763
2003/6/19,116511.6279,0,0,0,0,0,0,0,0,60563.06667,2090469.967,79891.23333,2548354.433,5493.6,136674.7667,54180.7,1252645.8,24478.3,2129067.5,210287,21918.16667,642427.9447,1330153.533,20564.83333,730783.5687,484544.9,23233.23333,106925.2333,386344.4387,7344158.67,0.9731671,8826190.333
2010/6/19,10000,0,0,0,0,0,0,0,0,60563.06667,2090469.967,79891.23333,2548354.433,5493.6,136674.7667,54180.7,1252645.8,24478.3,2129067.5,210287,21918.16667,642427.9447,1330153.533,20564.83333,730783.5687,484544.9,23233.23333,106925.2333,386344.4387,7344158.67,0.9731671,8826190.333
2017/6/19,54687.5,0,0,0,0,0,0,0,0,60563.06667,2090469.967,79891.23333,2548354.433,5493.6,136674.7667,54180.7,1252645.8,24478.3,2129067.5,210287,21918.16667,642427.9447,1330153.533,20564.83333,730783.5687,484544.9,23233.23333,106925.2333,386344.4387,7344158.67,0.9731671,8826190.333
2024/6/19,54687.5,0,0,0,0,0,0,0,0,60563.06667,2090469.967,79891.23333,2548354.433,5493.6,136674.7667,54180.7,1252645.8,24478.3,2129067.5,210287,21918.16667,642427.9447,1330153.533,20564.83333,730783.5687,484544.9,23233.23333,106925.2333,386344.4387,7344158.67,0.9731671,8826190.333
2001/7/19,54687.5,0,0,0,0,0,0,0,0,63272.77419,2116140.419,73394.54839,2660882,6253.032258,137226.1935,67015.51613,1398002.516,27334.32258,2207337.097,207015.051,24297.90323,475580.8671,1387948.71,23354.93548,714447.9074,487129.5484,24903.74194,116785.2903,430241.77,7559817.87,0.927119497,9113449.258
2008/7/19,54687.5,0,0,0,0,0,0,0,0,63272.77419,2116140.419,73394.54839,2660882,6253.032258,137226.1935,67015.51613,1398002.516,27334.32258,2207337.097,207015.051,24297.90323,475580.8671,1387948.71,23354.93548,714447.9074,487129.5484,24903.74194,116785.2903,430241.77,7559817.87,0.927119497,9113449.258
2015/7/19,54687.5,0,0,0,0,0,0,0,0,63272.77419,2116140.419,73394.54839,2660882,6253.032258,137226.1935,67015.51613,1398002.516,27334.32258,2207337.097,207015.051,24297.90323,475580.8671,1387948.71,23354.93548,714447.9074,487129.5484,24903.74194,116785.2903,430241.77,7559817.87,0.927119497,9113449.258
2022/7/19,54687.5,0,0,0,0,0,0,0,0,63272.77419,2116140.419,73394.54839,2660882,6253.032258,137226.1935,67015.51613,1398002.516,27334.32258,2207337.097,207015.051,24297.90323,475580.8671,1387948.71,23354.93548,714447.9074,487129.5484,24903.74194,116785.2903,430241.77,7559817.87,0.927119497,9113449.258
2029/7/19,54687.5,0,0,0,0,0,0,0,0,63604.90323,2144243.903,74811.58065,2720263.419,6618.83871,158011.0968,64985.70968,1457518.129,28844.77419,2256880.194,195706.8703,24546.80645,459516.5161,1576900.839,23052.48387,689821.8055,561171.0968,23867.22581,115772.129,414891.401,7428974.694,1.027673658,9533242.677
2005/8/19,54687.5,0,0,0,0,0,0,0,0,63854,2165321.516,75874.35484,2764799.484,6893.193548,173599.7742,63463.35484,1502154.839,29977.6129,2294037.516,187225.7348,24733.48387,447468.2529,1718614.935,22825.64516,671352.229,616702.2581,23089.83871,115012.2581,403378.6242,7885617.996,1.027673658,9848087.742
2012/8/19,54687.5,0,0,0,0,0,0,0,0,63854,2165321.516,75874.35484,2764799.484,6893.193548,173599.7742,63463.35484,1502154.839,29977.6129,2294037.516,187225.7348,24733.48387,447468.2529,1718614.935,22825.64516,671352.229,616702.2581,23089.83871,115012.2581,403378.6242,7885617.996,1.027673658,9848087.742
2019/8/19,7812.5,0,0,0,0,0,0,0,0,63854,2165321.516,75874.35484,2764799.484,6893.193548,173599.7742,63463.35484,1502154.839,29977.6129,2294037.516,187225.7348,24733.48387,447468.2529,1718614.935,22825.64516,671352.229,616702.2581,23089.83871,115012.2581,403378.6242,7885617.996,1.027673658,9848087.742
2026/8/19,278906.25,0,0,0,0,0,0,0,0,63655.53333,2162245.771,75205.16129,2754863.496,6826.91828,174425.0065,62138.42796,1484296.79,29843.09677,2294804.471,191333.0406,24317.86237,449551.6374,1723518.416,22005.30538,648002.6461,602549.5688,23682.12366,117462.1022,408389.4968,7657439.767,1.064364093,9829868.831
